sim_index,c1_actual,c2_actual,c3_actual,i1_expected,i2_expected,i3_expected,c1_to_i1,c1_to_i2,c1_to_i3,c2_to_i1,c2_to_i2,c2_to_i3,c3_to_i1,c3_to_i2,c3_to_i3,i1_counted,i2_counted,i3_counted,c1_computed,c2_computed,c3_computed,c1_percent_error,c2_percent_error,c3_percent_error,max_percent_error
75,333333,333333,333334,333333,333333,333334,166355,83467,83511,83585,166540,83208,83729,83205,166400,333669,333212,333119,334676,332848,332476,0.4029004029004029,0.1455001455001455,0.2573994852010296,0.4029004029004029
76,333333,333333,333334,333333,333333,333334,166733,83523,83077,83498,166203,83632,83265,83425,166644,333496,333151,333353,333984,332604,333412,0.1953001953001953,0.2187002187002187,0.0233999532000936,0.2187002187002187
77,333333,333333,333334,333333,333333,333334,166169,83482,83682,83401,166659,83273,83183,83384,166767,332753,333525,333722,331012,334100,334888,0.6963006963006964,0.2301002301002301,0.4661990676018648,0.6963006963006964
78,333333,333333,333334,333333,333333,333334,166932,83180,83221,83398,166970,82965,83489,83271,166574,333819,333421,332760,335276,333684,331040,0.5829005829005829,0.1053001053001053,0.6881986236027527,0.6881986236027527
79,333333,333333,333334,333333,333333,333334,166523,83413,83397,83499,166419,83415,83457,83606,166271,333479,333438,333083,333916,333752,332332,0.1749001749001749,0.1257001257001257,0.3005993988012024,0.3005993988012024
80,333333,333333,333334,333333,333333,333334,166421,83220,83692,83121,166971,83241,83107,83600,166627,332649,333791,333560,330596,335164,334240,0.821100821100821,0.5493005493005493,0.2717994564010872,0.821100821100821
81,333333,333333,333334,333333,333333,333334,166757,83130,83446,83520,166279,83534,83352,83391,166591,333629,332800,333571,334516,331200,334284,0.3549003549003549,0.63990063990064,0.28499943000114,0.63990063990064
82,333333,333333,333334,333333,333333,333334,166954,83575,82804,83597,166549,83187,83194,83078,167062,333745,333202,333053,334980,332808,332212,0.4941004941004941,0.1575001575001575,0.3365993268013464,0.4941004941004941
83,333333,333333,333334,333333,333333,333334,166769,83519,83045,83623,166888,82822,83193,83521,166620,333585,333928,332487,334340,335712,329948,0.3021003021003021,0.7137007137007138,1.0157979684040632,1.0157979684040632
84,333333,333333,333334,333333,333333,333334,166752,83481,83100,83540,166814,82979,83033,83495,166806,333325,333790,332885,333300,335160,331540,0.0099000099000099,0.5481005481005481,0.5381989236021528,0.5481005481005481
85,333333,333333,333334,333333,333333,333334,166271,83657,83405,83098,167054,83181,83731,83126,166477,333100,333837,333063,332400,335348,332252,0.2799002799002799,0.6045006045006045,0.32459935080129837,0.6045006045006045
86,333333,333333,333334,333333,333333,333334,166571,83506,83256,83243,166918,83172,83217,83367,166750,333031,333791,333178,332124,335164,332712,0.3627003627003627,0.5493005493005493,0.1865996268007464,0.5493005493005493
87,333333,333333,333334,333333,333333,333334,166994,83240,83099,82987,166822,83524,83685,83040,166609,333666,333102,333232,334664,332408,332928,0.3993003993003993,0.2775002775002775,0.1217997564004872,0.3993003993003993
88,333333,333333,333334,333333,333333,333334,166773,83428,83132,83361,166601,83371,82894,83693,166747,333028,333722,333250,332112,334888,333000,0.3663003663003663,0.4665004665004665,0.1001997996004008,0.4665004665004665
89,333333,333333,333334,333333,333333,333334,166624,83454,83255,83013,166615,83705,82953,83607,166774,332590,333676,333734,330360,334704,334936,0.891900891900892,0.4113004113004113,0.4805990388019224,0.891900891900892
90,333333,333333,333334,333333,333333,333334,166253,83748,83332,83278,166924,83131,83538,83601,166195,333069,334273,332658,332276,337092,330632,0.3171003171003171,1.1277011277011277,0.8105983788032424,1.1277011277011277
91,333333,333333,333334,333333,333333,333334,166770,83540,83023,83499,166597,83237,83550,83109,166675,333819,333246,332935,335276,332984,331740,0.5829005829005829,0.1047001047001047,0.4781990436019128,0.5829005829005829
92,333333,333333,333334,333333,333333,333334,166866,82969,83498,83213,167308,82812,83197,83262,166875,333276,333539,333185,333104,334156,332740,0.0687000687000687,0.2469002469002469,0.1781996436007128,0.2469002469002469
93,333333,333333,333334,333333,333333,333334,166434,83119,83780,83357,166193,83783,83392,83253,166689,333183,332565,334252,332732,330260,337008,0.1803001803001803,0.9219009219009219,1.102197795604409,1.102197795604409
94,333333,333333,333334,333333,333333,333334,166339,83399,83595,83305,166294,83734,83598,83481,166255,333242,333174,333584,332968,332696,334336,0.1095001095001095,0.1911001911001911,0.3005993988012024,0.3005993988012024
95,333333,333333,333334,333333,333333,333334,166961,83238,83134,83490,166222,83621,83225,83729,166380,333676,333189,333135,334704,332756,332540,0.4113004113004113,0.1731001731001731,0.2381995236009528,0.4113004113004113
96,333333,333333,333334,333333,333333,333334,166705,83199,83429,82888,167249,83196,83879,83335,166120,333472,333783,332745,333888,335132,330980,0.1665001665001665,0.5397005397005397,0.7061985876028248,0.7061985876028248
97,333333,333333,333334,333333,333333,333334,166714,83340,83279,83097,167079,83157,83142,83425,166767,332953,333844,333203,331812,335376,332812,0.4563004563004563,0.6129006129006129,0.1565996868006264,0.6129006129006129
98,333333,333333,333334,333333,333333,333334,166533,83117,83683,83528,166592,83213,83068,83732,166534,333129,333441,333430,332516,333764,333720,0.2451002451002451,0.1293001293001293,0.1157997684004632,0.2451002451002451
99,333333,333333,333334,333333,333333,333334,166706,83171,83456,82862,166949,83522,83810,83457,166067,333378,333577,333045,333512,334308,332180,0.0537000537000537,0.2925002925002925,0.3461993076013848,0.3461993076013848
