sim_index,c1_actual,c2_actual,c3_actual,c4_actual,c5_actual,i1_expected,i2_expected,i3_expected,i4_expected,i5_expected,c1_to_i1,c1_to_i2,c1_to_i3,c1_to_i4,c1_to_i5,c2_to_i1,c2_to_i2,c2_to_i3,c2_to_i4,c2_to_i5,c3_to_i1,c3_to_i2,c3_to_i3,c3_to_i4,c3_to_i5,c4_to_i1,c4_to_i2,c4_to_i3,c4_to_i4,c4_to_i5,c5_to_i1,c5_to_i2,c5_to_i3,c5_to_i4,c5_to_i5,i1_counted,i2_counted,i3_counted,i4_counted,i5_counted,c1_computed,c2_computed,c3_computed,c4_computed,c5_computed,c1_percent_error,c2_percent_error,c3_percent_error,c4_percent_error,c5_percent_error,max_percent_error
89,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66489,33368,33601,33119,33423,33273,66217,33381,33712,33417,33162,33275,66895,33424,33244,33060,33465,33322,66593,33560,33102,33179,33423,33777,66519,199086,199504,200622,200625,200163,194502,197017,203741,203759,200980,2.749,1.4915,1.8705,1.8795,0.49,2.749
90,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66519,33393,33309,33419,33360,33499,66620,33219,33088,33574,33498,33605,66347,33213,33337,33239,33224,33391,66605,33541,33224,33611,33316,33456,66393,199979,200453,199582,199781,200205,199874,202725,197486,198683,201233,0.063,1.3625,1.257,0.6585,0.6165,1.3625
91,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66548,33670,33364,33064,33354,33361,66485,33495,33370,33289,32997,33532,66602,33449,33420,33448,33100,33306,66885,33261,33426,33558,33219,33511,66286,199780,200345,199986,200279,199610,198677,202075,199916,201678,197654,0.6615,1.0375,0.042,0.839,1.173,1.173
92,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66573,33633,33370,33138,33286,33341,66540,33277,33276,33566,33167,33609,66828,33170,33226,33346,33375,33080,66790,33409,33448,33241,33691,33134,66486,199875,200398,200246,199508,199973,199248,202394,201480,197041,199838,0.376,1.197,0.74,1.4795,0.081,1.4795
93,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66799,33286,33221,33466,33228,33537,66676,33164,33426,33197,33259,33438,66687,33328,33288,33214,33429,33453,66806,33098,33407,33414,33221,33143,66815,200216,200243,199746,200169,199626,201299,201462,198472,201017,197750,0.6495,0.731,0.764,0.5085,1.125,1.125
94,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66422,33288,33484,33443,33363,33195,66712,33582,33113,33398,33461,33360,66297,33642,33240,33209,33434,33376,66695,33286,33098,33594,33219,33367,66722,199385,200388,199958,200260,200009,196301,202334,199747,201564,200054,1.8495,1.167,0.1265,0.782,0.027,1.8495
95,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66547,33445,33299,33403,33306,33595,66508,33263,33339,33295,33486,33440,66671,33156,33247,33439,33133,33489,66478,33461,33552,33226,33292,33133,66797,200619,199752,200014,199509,200106,203723,198508,200084,197047,200638,1.8615,0.746,0.042,1.4765,0.319,1.8615
96,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66239,33488,33355,33489,33429,33191,66574,33120,33364,33751,33153,33282,66885,33378,33302,33618,33357,33475,66277,33273,33145,33116,33728,33261,66750,199346,199817,200563,199769,200505,196066,198899,203386,198611,203038,1.967,0.5505,1.693,0.6945,1.519,1.967
97,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66334,33395,33262,33603,33406,33385,66561,33421,33499,33134,33307,33728,66293,33457,33215,33325,33309,33458,66572,33336,33316,33342,33343,33215,66784,199667,200335,199777,200346,199875,197997,202015,198659,202081,199248,1.0015,1.0075,0.6705,1.0405,0.376,1.0405
98,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66657,33289,33657,33229,33168,33629,66835,33025,33584,32927,33461,33630,66157,33413,33339,33290,33497,33477,66481,33255,33244,33426,33370,33453,66507,200281,200677,199686,200160,199196,201690,204072,198111,200962,195164,0.845,2.036,0.9445,0.481,2.418,2.418
99,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66545,33479,33233,33350,33393,33301,66598,33518,33204,33379,33594,33219,66800,33438,32949,33197,33316,33391,66361,33735,33269,33295,33256,33467,66713,199906,199907,200198,199820,200169,199435,199441,201191,198917,201017,0.2825,0.2795,0.5955,0.5415,0.5085,0.5955
